O121,'The Stork Shop','Coffee Shop',2,'2/6 Lr Gr Canal Street' 
O122,'DAX Restaurant','Restaurant',2,'18 Holles Street' 
O123,'Roxford Lodge Hotel','Coffee Shop',4,'23 Pembroke Street Upper' 
O124,'Lombard Shop','Coffee Shop',2,'46 Northumberland Road' 
O125,'Café En Seine','Bar',2,'3B Lombard Street East' 
O126,'The Shelbourne Hotel','Hotel',22,'39 Dawson Street' 
O127,'Costcutters','Coffee Shop',1,'27 St Stephens Green' 
O128,'Hanlin Restaurant','Restaurant',1,'35 Lower Dorset Street' 
O129,'Nash's','Bar',8,'154 Parnell Street' 
O130,'Ginger Indian Restaurant & Take Away','Fast Food',6,'47-48 Thomas Street' 
O131,'Di Bella Café','Restaurant',2,'146 Lower Rathmines Road' 
O132,'The Lotts Café Bar','Restaurant',1,'Unit 2 The Aldi Scheme St. Margarets Rd' 
O133,'Keshk Café','Coffee Shop',4,'9 Lower Liffey Street' 
O134,'Lemon Café Bar','Restaurant',2,'129 Upper Leeson Street' 
O135,'Macari Take Away','Fast Food',8,'147-149 Drimnagh Road' 
O136,'Pembroke Townhouse','Fast Food',4,'Walkinstown Avenue' 
O137,'Mocha','Coffee Shop',6,'88-90 Pembroke Road' 
O138,'College Deli','Coffee Shop',2,'1 Lower Rathmines Road' 
O139,'Cocoon Bar','Bar',2,'185 Townsend Street' 
O140,'Second Bite','Coffee Shop',22,'2 Duke Lane' 
O141,'Ba mizu','Bar',2,'7 Poolbeg Street' 
O142,'Café Mino','Restaurant',22,'Powerscourt Townhouse' 
O143,'Imperial Chinese Restaurant','Restaurant',22,'Powerscourt Townhouse' 
O144,'Spar Tara Street','Coffee Shop',22,'12A Wicklow Street' 
O145,'Eurospar','Coffee Shop',2,'Unit 3 Trinity Plaza' 
O146,'Siam Thai Ltd','Restaurant',2,'Hanover Building' 
O147,'Gerards Student Café/The Institute of Education','Coffee Shop',2,'14/15 St Andrew Street' 
O148,'Gerards Deli & Sandwich Bar','Coffee Shop',22,'Lr Leeson St' 
O149,'Gerards Deli & Sandwich Bar','Coffee Shop',22,'Lr Leeson St' 
O150,'The Larder','Restaurant',22,'4 Lr Leeson St' 
O151,'Bocca','Restaurant',2,'8 Parliament St' 
O152,'Simons Place Coffee Shop','Coffee Shop',2,'3 South Anne Street' 
O153,'Boulevard Café','Restaurant',2,'22 Sth Great Georges St' 
O154,'Café Boulevard','Restaurant',2,'27 Exchequer Street' 
O155,'Bar Italia & Ristorante','Restaurant',1,'132 Lr Baggot St' 
O156,'The Farm Restaurant','Restaurant',2,'26 Lr Ormond Quay' 
O157,'Centra','Coffee Shop',2,'3 Dawson St' 
O158,'Chapter & Verse','Coffee Shop',22,'9 Wicklow Street' 
O159,'The Beachcomber','Bar',5,'1&2 Lr Leeson Street' 
O160,'The White Horse Inn','Bar',2,'179 Howth Road' 
O161,'Bagel Factory','Coffee Shop',2,'1 Georges Quay' 
O162,'Cassidy's Bar','Bar',22,'33 Wicklow St' 
O163,'Gresham Hotel','Hotel',1,'27 Westmoreland Street' 
O164,'The Clarence Hotel','Hotel',2,'23 Upr O'Connell Street' 
O165,'Quality Hotel Dublin','Hotel',2,'6-8 Wellington Quay' 
O166,'Stags Head Pub','Bar',2,'Sir John Rogersons Quay' 
O167,'Hardrock Café','Restaurant',1,'Dame Lane' 
